name,institution,country,domain,openalex_name,works_count,cited_by_count,h_index,last_institution,books,hbr_articles_est,practitioner_reach,notes
Henry Mintzberg,McGill University,CA (European influence),Strategy/Organization,Henry Mintzberg,317,61764,75,,"['The Rise and Fall of Strategic Planning', 'Managers Not MBAs', 'Strategy Safari']",5,Very High,Canadian but deeply influential in European management thinking
Hermann Simon,Simon-Kucher & Partners,DE,Pricing/Hidden Champions,Hermann Simon,458,3585,29,,"['Hidden Champions', 'Confessions of the Pricing Man', 'True Profit']",3,"High in Europe, moderate globally",Founded Simon-Kucher (now $500M+ revenue); most cited German management author
Yves Pigneur,University of Lausanne,CH,Business Models,Yves Pigneur,172,17377,33,,"['Business Model Generation', 'Value Proposition Design', 'The Invincible Company']",2,Very High,Swiss academic; BMC is the most widely used business framework globally
Alex Osterwalder,Strategyzer,CH,Business Models,Alex Osterwalder,7,492,2,,"['Business Model Generation', 'Value Proposition Design', 'Testing Business Ideas']",3,Very High,Swiss; built a product company (Strategyzer) from academic framework
Erin Meyer,INSEAD,FR,Cross-cultural management,Erin Meyer,46,2957,16,,"['The Culture Map', 'No Rules Rules (with Reed Hastings)']",5,Very High,American at INSEAD; The Culture Map became a standard reference
Gary Hamel,London Business School,GB,Strategy/Innovation,Gary Hamel,115,33995,33,,"['Competing for the Future', 'The Future of Management', 'Humanocracy']",20,Very High,American at LBS; one of the most published HBR authors ever
Lynda Gratton,London Business School,GB,Future of Work,Lynda Gratton,149,3684,28,,"['The Shift', 'The 100-Year Life', 'Redesigning Work']",8,High,British; World Economic Forum advisor
Herminia Ibarra,London Business School,GB,Leadership/Career,Herminia Ibarra,89,15819,34,,"['Act Like a Leader Think Like a Leader', 'Working Identity']",12,High,Cuban-American at LBS; bridges US-European thinking
Costas Markides,London Business School,GB,Strategy/Innovation,Costas Markides,105,7419,31,,"['Game-Changing Strategies', 'Fast Second', 'All the Right Moves']",5,Medium,Cypriot-British; influential in European strategy teaching
Fredmund Malik,Malik Management,CH,Management systems,Fredmund Malik,55,543,9,,"['Managing Performing Living', 'Strategy for Managing Complex Systems']",0,High in DACH region,Austrian-Swiss; huge influence in German-speaking world; minimal in Anglo world
Kjell Nordström,Stockholm School of Economics,SE,Business/Society,Kjell Nordström,32,567,8,,"['Funky Business', 'Karaoke Capitalism']",0,Medium,Swedish provocateur; popular speaker but limited academic output
Jonas Ridderstråle,Stockholm School of Economics,SE,Business/Society,Jonas Ridderstråle,33,999,9,,"['Funky Business', 'Karaoke Capitalism', 'Fast/Forward']",0,Medium,Swedish; speaking circuit; lighter academic footprint
Sumantra Ghoshal,London Business School,GB (deceased),Strategy/Organization,Sumantra Ghoshal,154,56076,57,,"['Managing Across Borders', 'The Individualized Corporation', 'A Bias for Action']",10,High (historical),Indian-British at LBS; died 2004; hugely influential
Charles Handy,London Business School,GB,Organization/Philosophy,Charles Handy,155,3943,24,,"['The Age of Unreason', 'The Empty Raincoat', 'The Second Curve']",3,High (historical),Irish-British philosopher of management; BBC radio presenter
Manfred Kets de Vries,INSEAD,FR,Leadership/Psychology,Manfred F. R. Kets de Vries,529,7913,35,,"['The Leadership Mystique', 'Leaders on the Couch', 'Riding the Leadership Rollercoaster']",5,High in exec ed,Dutch at INSEAD; founder of INSEAD leadership centre
W. Chan Kim,INSEAD,FR,Strategy,W. Ray Kim,651,49953,104,,"['Blue Ocean Strategy', 'Blue Ocean Shift']",8,Very High,Korean at INSEAD; Blue Ocean is one of the top-selling strategy books ever
Renée Mauborgne,INSEAD,FR,Strategy,Renée Mauborgne,80,8153,25,,"['Blue Ocean Strategy', 'Blue Ocean Shift']",8,Very High,American at INSEAD; co-creator of Blue Ocean
Julian Birkinshaw,London Business School,GB,Innovation/Management,Julian Birkinshaw,364,34453,75,,"['Reinventing Management', 'Fast/Forward', 'Becoming a Better Boss']",10,Medium-High,British-Canadian; prolific at LBS
Nicolai Foss,Copenhagen Business School,DK,Organization/Strategy,Nicolai J. Foss,517,25301,80,,"['Strategy, Economic Organization and the Knowledge Economy']",2,Low-Medium,Danish; strong academic but limited practitioner crossover
Freek Vermeulen,London Business School,GB,Strategy,Freek Vermeulen,52,3812,17,,"['Breaking Bad Habits', 'Business Exposed']",5,Medium,Dutch at LBS; contrarian/provocative style
Phanish Puranam,INSEAD,FR,Organization Design,Phanish Puranam,221,8691,42,,"['Corporate Strategy', 'The Microstructure of Organizations']",2,Low-Medium,Indian at INSEAD; more academic than practitioner
Gianpiero Petriglieri,INSEAD,FR,Leadership/Identity,Gianpiero Petriglieri,57,1999,17,,[],5,Medium,Italian at INSEAD; popular on LinkedIn/social media
Amy Edmondson,Harvard (but European influence),US→EU bridge,Psychological Safety,Amy C. Edmondson,356,44564,66,,"['The Fearless Organization', 'Teaming', 'The Right Kind of Wrong']",15,Very High,American but deeply connected to European executive education
Ethan Mollick,Wharton (but European influence),US→EU bridge,AI/Innovation,Ethan Mollick,80,7969,25,,['Co-Intelligence'],5,Very High (recent),American but widely read in European tech/business circles
