author_id,name,institution,tier,citations_in_network,out_citations
https://openalex.org/A5063768682,Donald C. Hambrick,Pennsylvania State University,1,10585,1537
https://openalex.org/A5011084627,Dean A. Shepherd,Indiana University,2,9925,8209
https://openalex.org/A5045613469,Kathleen M. Eisenhardt,The University of Texas at Austin,1,6298,1552
https://openalex.org/A5110834966,Michael A. Hitt,Texas A&M University,2,5399,2823
https://openalex.org/A5102961182,Mike Wright,University of Nottingham,1,5208,3206
https://openalex.org/A5103244990,Jeffery S. McMullen,Indiana University,3,4825,2697
https://openalex.org/A5075165921,Gerard George,Singapore Management University,1,4287,2861
https://openalex.org/A5081433107,Luis R. Gómez‐Mejía,IESE Business School,2,4247,2620
https://openalex.org/A5090290465,David J. Ketchen,Auburn University,2,4159,2930
https://openalex.org/A5066123323,R. Duane Ireland,,2,4026,1595
https://openalex.org/A5013166854,Mike W. Peng,The University of Texas at Dallas,2,3991,2771
https://openalex.org/A5067660877,Herman Aguinis,George Washington University,2,3823,2623
https://openalex.org/A5079805136,Roy Suddaby,University of Alberta,3,3690,1160
https://openalex.org/A5065903051,Johan Wiklund,Syracuse University,3,3618,2606
https://openalex.org/A5080734771,Danny Miller,HEC Montréal,3,3558,2016
https://openalex.org/A5031632110,Viólina Rindova,"University of Maryland, College Park",2,3494,782
https://openalex.org/A5086395956,Timothy G. Pollock,Pennsylvania State University,2,3480,1544
https://openalex.org/A5012096592,László Tihanyi,Mitchell Institute,2,3460,1537
https://openalex.org/A5035065170,Rajshree Agarwal,University of Illinois Urbana-Champaign,2,3349,1429
https://openalex.org/A5046028773,Shaker A. Zahra,Universidad Carlos III de Madrid,2,3339,2387
https://openalex.org/A5091476524,Henrich R. Greve,INSEAD,1,3310,1255
https://openalex.org/A5112759126,Royston Greenwood,University of Alberta,2,3278,969
https://openalex.org/A5026435063,Blake E. Ashforth,Arizona State University,2,3273,1365
https://openalex.org/A5006635153,David G. Sirmon,University of Washington,2,3253,1208
https://openalex.org/A5090620640,S. Trevis Certo,Indiana University,2,3233,899
https://openalex.org/A5032957150,James J. Chrisman,Mississippi State University,3,3230,2343
https://openalex.org/A5072386434,Matthew Semadeni,Indiana University,2,3157,684
https://openalex.org/A5086849442,Peer C. Fiss,University of Southern California,2,3153,744
https://openalex.org/A5001547897,Daan van Knippenberg,Monash University,2,3149,2437
https://openalex.org/A5090322788,Marc Gruber,École Polytechnique Fédérale de Lausanne,3,3130,1678
https://openalex.org/A5066967114,Michael D. Pfarrer,,2,3068,2544
https://openalex.org/A5002371565,Pankaj C. Patel,Ball State University,3,3053,2544
https://openalex.org/A5103476405,Robert A. Baron,Rensselaer Polytechnic Institute,3,2995,660
https://openalex.org/A5088614682,James D. Westphal,University of Michigan–Ann Arbor,1,2877,755
https://openalex.org/A5066363875,Robert E. Ployhart,University of South Carolina,2,2844,1214
https://openalex.org/A5110746760,Wendy K. Smith,University of Delaware,1,2843,960
https://openalex.org/A5012295433,Melissa E. Graebner,Stanford University,1,2811,267
https://openalex.org/A5110911045,Robert E. Hoskisson,Arizona State University,1,2800,2405
https://openalex.org/A5088792789,Eero Vaara,École de management de Lyon,2,2799,3209
https://openalex.org/A5007981041,Garry D. Bruton,Texas Christian University,3,2791,2202
https://openalex.org/A5048107075,Brian L. Connelly,Auburn University,2,2787,2677
https://openalex.org/A5025273457,Constance E. Helfat,Dartmouth College,1,2784,845
https://openalex.org/A5112415387,Ken G. Smith,"University of Maryland, College Park",2,2770,210
https://openalex.org/A5003008674,Zeki Şimşek,George Mason University,3,2684,1614
https://openalex.org/A5032726685,Jeremy C. Short,University of Oklahoma,3,2680,2562
https://openalex.org/A5068962017,Klaus E. Meyer,University of Bath,1,2677,1900
https://openalex.org/A5047643043,Melissa S. Cardon,University of Tennessee at Knoxville,3,2645,1793
https://openalex.org/A5081935227,Joep Cornelissen,Erasmus University Rotterdam,2,2625,2282
https://openalex.org/A5110898159,Mary Ann Glynn,Boston College,1,2624,1096
https://openalex.org/A5065530994,Scott D. Graffin,,2,2612,1809
